City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,Chuy,UY,71.15,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
4,Hilo,US,78.8,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
5,Saint-Joseph,RE,78.8,moderate rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
6,Geraldton,AU,70.7,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
8,Puerto Ayora,EC,84.2,light rain,-0.7393,-90.3518,Castillo Galapagos
9,Mar Del Plata,AR,75.99,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
10,Padang,ID,73.4,scattered clouds,-0.9492,100.3543,Mercure Padang
12,Ambulu,ID,78.58,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
16,Carnarvon,AU,73.4,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
17,Rikitea,PF,80.31,clear sky,-23.1203,-134.9692,Pension Maro'i
19,Pangai,TO,75.2,heavy intensity rain,-19.8,-174.35,Ha'apai Beach Resort
22,Sao Sebastiao,BR,74.53,overcast clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
37,Kapaa,US,78.8,moderate rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
43,Avarua,CK,86.0,overcast clouds,-21.2078,-159.775,Paradise Inn
45,Kirakira,SB,85.71,overcast clouds,-10.4544,161.9205,SanBiz Lodge
46,Cidreira,BR,75.81,clear sky,-30.1811,-50.2056,Hotel Castelo
47,Ankpa,NG,73.78,broken clouds,7.3706,7.6253,AA Suites
49,Caravelas,BR,77.65,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
52,Acapulco,MX,84.2,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
53,Hobart,AU,90.0,clear sky,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
58,Guanay,BO,72.86,overcast clouds,-15.4975,-67.8797,Hotel Ritzy
59,Souillac,MU,77.0,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
65,Atuona,PF,78.39,clear sky,-9.8,-139.0333,Villa Enata
67,Mont-Dore,NC,81.0,broken clouds,-22.2833,166.5833,GIte
70,Sola,VU,86.0,light rain,-13.8833,167.55,Leumerus Bungalows
73,Uberlandia,BR,77.0,clear sky,-18.9186,-48.2772,Comfort Uberlândia
74,Georgetown,MY,78.8,few clouds,5.4112,100.3354,Cititel Penang
77,Sao Joao Da Barra,BR,75.87,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
79,Dingle,PH,78.51,light rain,10.9995,122.6711,SEGAYA PROPERTY
83,Sinnamary,GF,76.73,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
89,Gambela,ET,77.04,scattered clouds,8.25,34.5833,Solomon Debebe Hotel
95,Saint-Pierre,RE,78.8,moderate rain,-21.3393,55.4781,Lindsey Hôtel
96,Olinda,BR,78.8,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
98,Arraial Do Cabo,BR,76.15,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
100,Butaritari,KI,79.21,broken clouds,3.0707,172.7902,Isles Sunset Lodge
103,Upata,VE,80.01,overcast clouds,8.0086,-62.3989,Posada Villa Nela
107,Mitsamiouli,KM,80.92,overcast clouds,-11.3847,43.2844,Foyer ADM
109,Faanui,PF,81.86,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
117,Vila Velha,BR,77.0,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
118,Camana,PE,71.58,broken clouds,-16.6228,-72.7111,Hostal Morales
119,Isangel,VU,78.8,moderate rain,-19.55,169.2667,Volcano Sea View Tree House
120,Mahebourg,MU,77.0,moderate rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
124,Cabo San Lucas,MX,70.0,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
125,Bonthe,SL,76.57,clear sky,7.5264,-12.505,Bonthe Holiday Village
128,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
133,Bengkulu,ID,77.7,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
134,Vaini,TO,82.4,light rain,-21.2,-175.2,Keleti Beach Resort
141,Mackay,AU,82.0,few clouds,-21.15,149.2,International Lodge Motel
142,Belmonte,BR,77.0,light rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
143,Mount Gambier,AU,77.0,overcast clouds,-37.8333,140.7667,Commodore on the Park
144,Santa Cruz,BO,80.6,scattered clouds,-17.8,-63.1667,Hotel Cortez
147,Luanda,AO,78.8,few clouds,-8.8368,13.2343,EPIC SANA Luanda
148,Namibe,AO,75.13,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
151,Labuhan,ID,77.32,moderate rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
152,Boromo,BF,70.66,clear sky,11.75,-2.9333,Sama Camp
154,Gizo,SB,83.8,broken clouds,-8.103,156.8419,Imagination Island
157,Alofi,NU,84.2,light rain,-19.0595,-169.9187,Taloa Heights
158,Pisco,PE,75.2,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
162,Chicama,PE,74.44,broken clouds,-7.8447,-79.1469,Hospedaje Punta Cana PERU
165,Pimentel,PE,75.2,clear sky,-6.8367,-79.9342,Casona Del Muelle
177,Trairi,BR,80.02,overcast clouds,-3.2778,-39.2689,janelas do mar
180,Dickinson,US,72.0,overcast clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
185,Port Macquarie,AU,84.99,few clouds,-31.4333,152.9167,Rydges Port Macquarie
191,Poum,NC,81.09,overcast clouds,-20.2333,164.0167,Gîte kajeon
193,Hobyo,SO,77.31,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
201,New Norfolk,AU,90.0,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
202,Grand-Lahou,CI,78.89,clear sky,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
210,Moron,AR,86.0,clear sky,-34.6534,-58.6198,Hotel Morón
213,Rio Claro,BR,77.0,moderate rain,-22.4114,-47.5614,Hotel Vivendas Rio Claro by Atlantica
215,Kahului,US,87.8,few clouds,20.8947,-156.47,Maui Seaside Hotel
218,Tual,ID,84.25,broken clouds,-5.6667,132.75,Grand Vilia Hotel
222,Puerto Narino,CO,84.2,few clouds,-3.7703,-70.3831,Eware Refugio Amazonico
228,Bandarbeyla,SO,73.81,light rain,9.4942,50.8122,JABIR HOTEL
235,Kavaratti,IN,80.94,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
237,Namatanai,PG,84.49,light rain,-3.6667,152.4333,Namatanai Hotel
239,Ixtapa,MX,73.99,few clouds,20.7,-105.2,Container Inn Puerto Vallarta
241,Prainha,BR,75.04,light rain,-1.8,-53.48,Casa Rocha
245,Lorengau,PG,85.1,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
246,Cockburn Town,TC,77.0,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
247,Srandakan,ID,77.81,overcast clouds,-7.9386,110.2506,Puri Brata
248,Ojinaga,MX,82.4,clear sky,29.5667,-104.4167,Suites Las Palmas
253,Prado,BR,76.87,overcast clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
259,Kendari,ID,76.46,overcast clouds,-3.945,122.4989,Hotel Wixel
263,Santa Maria Da Vitoria,BR,73.78,scattered clouds,-13.3947,-44.1886,Pousada Rio Current
269,Bobo Dioulasso,BF,71.6,clear sky,11.1771,-4.2979,IBA Hotel
274,Alice Springs,AU,86.0,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
278,Palu,ID,78.4,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
280,Hithadhoo,MV,81.63,overcast clouds,-0.6,73.0833,Scoop Guest House
286,Iquitos,PE,84.2,scattered clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
291,Touros,BR,77.0,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
292,Codrington,AU,72.7,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
293,San Patricio,US,77.0,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
298,Mocuba,MZ,74.95,overcast clouds,-16.8392,36.9856,Phama Lodge
299,Kloulklubed,PW,82.4,broken clouds,7.0419,134.2556,Storyboard Beach Resort
301,San Cristobal,VE,80.6,scattered clouds,7.7669,-72.225,Pirineos
305,Port Blair,IN,73.18,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
308,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
311,Mucurapo,TT,78.8,few clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
312,Mana,GF,76.8,broken clouds,5.6592,-53.7767,LE SAMANA
315,Katherine,AU,78.8,broken clouds,-14.4667,132.2667,Pine Tree Motel
317,Alta Floresta,BR,75.2,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
318,Impfondo,CG,72.64,overcast clouds,1.6381,18.0667,Préfecture de la Likouala
336,Port-Gentil,GA,80.6,scattered clouds,-0.7193,8.7815,Fengshui Residence
343,Natal,BR,77.0,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
351,Kismayo,SO,77.32,overcast clouds,-0.3582,42.5454,Agan-Hotel
352,Cairns,AU,84.99,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
354,Varkkallai,IN,78.8,mist,8.7341,76.7067,SPOT ON 72723 Pathanjali Ayurveda Yoga Centre( Dreams Beach Resort)
355,Maraba,BR,77.0,few clouds,-5.3686,-49.1178,Hotel Del Principe
359,Boa Vista,BR,82.4,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
362,Atambua,ID,76.62,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
364,Bambous Virieux,MU,77.0,moderate rain,-20.3428,57.7575,Casa Tia Villa
367,Puerto Colombia,CO,80.6,clear sky,10.9878,-74.9547,Hotel El Emigrante
370,Ahipara,NZ,72.5,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
371,Finschhafen,PG,86.23,overcast clouds,-6.6024,147.8681,Cossam Guest House
373,Banjar,ID,77.0,scattered clouds,-8.19,114.9675,The Hamsa Resort
378,Pringsewu,ID,74.48,overcast clouds,-5.3582,104.9744,Urban Style by Front One
381,Mumford,GH,77.97,scattered clouds,5.2618,-0.759,Spanish Villa
383,Mount Isa,AU,87.8,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
385,Mecca,SA,71.69,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
386,Kiunga,PG,81.9,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
391,Dzilam Gonzalez,MX,77.49,overcast clouds,21.2833,-88.9333,posadas
394,Flinders,AU,82.99,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
399,Vao,NC,75.78,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
400,Cozumel,MX,80.6,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
401,Macia,MZ,73.51,moderate rain,-25.0269,33.0989,Tuck shop my life dcoza
402,Salalah,OM,71.6,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
404,Mareeba,AU,84.99,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
406,Mulanje,MW,72.16,overcast clouds,-16.0316,35.5,Mulanje Motel
413,Ugoofaaru,MV,81.03,broken clouds,5.6667,73.0,Ungoofaaru Inn
415,Boca Do Acre,BR,74.77,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
416,Lazaro Cardenas,MX,79.16,overcast clouds,17.9583,-102.2,Collection O Hotel Quinta Antigua
419,Mazagao,BR,82.4,broken clouds,-0.115,-51.2894,Recanto dos Ferreiras
422,Upington,ZA,80.6,few clouds,-28.4478,21.2561,River Place Manor
423,Paciran,ID,77.14,heavy intensity rain,-6.8767,112.3761,Tanjung Kodok Beach Resort
425,Sao Filipe,CV,71.71,clear sky,14.8961,-24.4956,Tortuga B&B
432,Vanimo,PG,83.08,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
433,Salina Cruz,MX,80.33,broken clouds,16.1667,-95.2,Amerik HOTEL
436,Puerto Escondido,MX,80.6,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
443,Batemans Bay,AU,87.01,few clouds,-35.7167,150.1833,Batemans Bay Marina Resort
445,Norsup,VU,83.57,moderate rain,-16.0667,167.3833,Nabelchel Bungalows
446,Kyaikkami,MM,71.26,few clouds,16.08,97.5675,Happy Family Kyaikkami
453,Dunmore Town,BS,72.61,broken clouds,25.5,-76.65,Coral Sands Hotel
460,Lakatoro,VU,83.59,heavy intensity rain,-16.0999,167.4164,Lakatoro Palm Lodge
464,Kavieng,PG,84.61,broken clouds,-2.5744,150.7967,Nusa Island Retreat
465,Coracao De Maria,BR,71.98,overcast clouds,-12.2333,-38.75,Pousada de Dona Bó
466,Itarema,BR,80.71,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
470,Itaituba,BR,75.18,moderate rain,-4.2761,-55.9836,Hotel Campos
471,Muli,MV,81.23,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
473,Uvira,CD,72.79,moderate rain,-3.4067,29.1458,Hotel Suzana
476,Mercedes,AR,86.0,clear sky,-34.6515,-59.4307,Posada del Inti Centro
477,Pedernales,DO,76.71,broken clouds,18.0384,-71.744,Hotel Costa Marina
479,Borba,BR,75.72,light rain,-4.3878,-59.5939,Hotel da Amazônia
480,Morgan City,US,72.0,broken clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
485,Manzanillo,CU,76.14,few clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
486,Kununurra,AU,80.6,overcast clouds,-15.7667,128.7333,Hotel Kununurra
487,Soyo,AO,78.96,overcast clouds,-6.1349,12.3689,Hotel Mpampa
488,Meulaboh,ID,76.17,overcast clouds,4.1363,96.1285,Kost Pria
493,Kawalu,ID,74.05,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
496,Nanakuli,US,82.4,clear sky,21.3906,-158.1547,Camp Pālehua
498,Morondava,MG,78.12,overcast clouds,-20.2833,44.2833,La Case Bambou
499,Puerto Asis,CO,74.44,broken clouds,0.5133,-76.5007,Ayawaska Hostal
500,Cayenne,GF,78.8,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
501,Bodden Town,KY,80.6,few clouds,19.2833,-81.25,Will T Place
505,Necochea,AR,80.01,scattered clouds,-38.5473,-58.7368,dyd -mar Hotel
506,Rio Grande,BR,75.0,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
510,Riberalta,BO,73.63,overcast clouds,-10.9833,-66.1,Hotel Colonial
514,Metro,ID,75.92,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
525,Coahuayana,MX,80.6,scattered clouds,18.7333,-103.6833,Hotel Los Arcos
529,Buala,SB,85.95,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
530,Beira,MZ,79.45,overcast clouds,-19.8436,34.8389,Beira Terrace Hotel
531,Kathu,TH,82.99,scattered clouds,7.9178,98.3332,Novotel Phuket Resort
535,Angoche,MZ,77.5,overcast clouds,-16.2325,39.9086,Guest House HESADA
540,Bontang,ID,76.73,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
543,Manado,ID,77.0,scattered clouds,1.4869999999999999,124.8455,Aryaduta Hotel
547,Hualmay,PE,72.57,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
548,Rock Sound,BS,73.96,clear sky,24.9,-76.2,Rock Sound Club
552,Trelew,AR,73.02,clear sky,-43.248999999999995,-65.3051,Hotel Touring Club
555,Buin,CL,86.0,clear sky,-33.7333,-70.75,Paihuen
557,Tenkodogo,BF,72.99,scattered clouds,11.78,-0.3697,Hôtel Tiéba
560,Sumbe,AO,74.86,clear sky,-11.2061,13.8437,Hotel Ritz Sumbe
561,Byron Bay,AU,78.8,broken clouds,-28.65,153.6167,Backpackers Inn on the Beach
564,Tela,HN,82.4,broken clouds,15.7833,-87.45,Hotel & Restaurante Cesar Mariscos
565,Houma,US,71.6,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
567,Ambon,ID,80.6,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
569,Carutapera,BR,77.52,very heavy rain,-1.195,-46.02,Lidera
570,Bubaque,GW,78.62,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
571,Antsohihy,MG,74.71,light rain,-14.8796,47.9875,Hotel de Ville
574,Buluang,PH,78.71,clear sky,13.3068,123.3425,Enon Beach Resort
585,Grand-Santi,GF,73.15,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
588,Kupang,ID,75.2,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
591,Manokwari,ID,82.56,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
592,Wahiawa,US,82.4,light rain,21.5028,-158.0236,Aloha Wahiawa
597,Chateaubelair,VC,77.0,broken clouds,13.2833,-61.25,Richmond Vale Diving & Hiking Center
604,Doba,TD,72.14,few clouds,8.65,16.85,Restaurant Auberge La Pétrolière
606,Tautira,PF,86.0,light rain,-17.7333,-149.15,Pension Oaoa
614,Marawi,PH,75.0,broken clouds,7.9986,124.2928,Derogongan Residence
617,Puerto Cabezas,NI,80.6,scattered clouds,14.0351,-83.3888,Hotel Caribe
618,Tandil,AR,87.01,clear sky,-37.3217,-59.1332,HOSTAL DE LA SIERRA TANDIL
621,Itanhem,BR,71.15,overcast clouds,-17.1664,-40.33,Hotel Resende
624,Delta Del Tigre,UY,77.0,clear sky,-34.7633,-56.3853,FINCA SUAREZ
625,Maceio,BR,78.8,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
630,Salinopolis,BR,78.15,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
642,Pochutla,MX,84.2,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
643,Lindi,TZ,72.36,broken clouds,-10.0,39.7167,Lindi paradise house
653,Launceston,AU,78.8,broken clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
660,Noumea,NC,84.2,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
661,Ipoti,NG,70.03,broken clouds,7.8738,5.0769,Hotel De Bolten
662,Bowen,AU,82.4,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
670,Nicoya,CR,87.8,clear sky,10.1483,-85.45200000000001,Guayacan Real
671,Yulara,AU,84.2,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
672,Ballina,AU,78.8,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
676,Castanos,MX,84.2,mist,26.7833,-101.4167,Bomberos voluntarios castaños coahuila
677,Benito Juarez,MX,71.6,broken clouds,19.385,-99.165,Holiday Inn Ciudad de Mexico-Trade Center
678,Cap Malheureux,MU,75.0,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
679,Hambantota,LK,73.69,overcast clouds,6.1241,81.1185,Bungalow 63
684,La Union,PE,79.29,overcast clouds,-5.4,-80.75,Los Portales
